ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
01939;    -148.10500    68.34770     0.00720    0.000262    36    89  1700  2142  1861  0.216 19.2 17.7 0.052 0.043 0.073 0.92 0.46 0.78;  2010    (01939)
01940;    -145.27800    69.27160     0.02880    0.000307    10    26  1774  2036  1935  0.189 41.4 41.4 0.559 0.368 0.633 0.89 0.78 0.97;  2007    (01940)
01947;    -144.91100    69.21220     0.02880    0.000352    12    18  2097  2301  2215  0.250 38.2 38.2 0.521 0.350 0.651 0.85 0.78 0.96;  2007    (01947)
01950;    -144.87601    69.14760     0.02340    0.000228     9    16  2008  2173  2109  0.215 35.8 35.8 0.453 0.373 0.537 0.87 0.78 1.09;  2007    (01950)
01953;    -144.94701    69.17620     0.01530    0.000095     6    15  2085  2198  2125  0.119 33.8 33.8 0.276 0.201 0.358 0.93 0.85 2.58;  2007    (01953)
01967;    -145.19299    69.22250     0.01350    0.000110     8    12  1912  1964  1945  0.169 20.0 20.0 0.226 0.146 0.295 0.85 0.79 0.99;  2007    (01967)
01977;    -144.87500    69.03380     0.01980    0.000236    11    25  2003  2193  2158  0.201 34.7 34.7 0.419 0.251 0.527 0.86 0.75 0.89;  2007    (01977)
01978;    -144.86700    69.03500     0.02970    0.000361    12    26  2097  2337  2290  0.257 35.3 35.3 0.529 0.376 0.597 0.86 0.75 0.71;  2007    (01978)
01985;    -145.13100    69.08960     0.02790    0.000299    10    16  1942  2072  2030  0.210 32.4 32.1 0.448 0.268 0.564 0.89 0.81 0.76;  2007    (01985)
01993;    -144.89301    69.06430     0.02250    0.000166     7    12  2165  2276  2247  0.145 34.9 33.7 0.375 0.220 0.500 0.93 0.87 0.93;  2007    (01993)
02010;    -145.16200    69.10970     0.02970    0.000329    11    16  2159  2349  2237  0.221 39.0 39.0 0.518 0.343 0.628 0.88 0.82 0.87;  2007    (02010)
23229;    -151.14400    68.22450     0.02430    0.000219     9    16  1878  1996  1941  0.179 30.8 30.8 0.356 0.212 0.437 0.91 0.86 1.03;  2007    (23229)
