ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00004;    -64.877197  -67.635696     0.02187    0.000172     7    10   429   561   479  0.192 38.4 38.4 0.391 0.169 0.505 0.88 0.85 0.75;  -999    (00004)
00019;    -67.673302  -67.662804     0.02375    0.000170     7     9   405   514   477  0.137 35.1 34.8 0.276 0.207 0.351 0.95 0.92 0.98;  1986    (00019)
00058;    -67.201599  -67.598701     0.01438    0.000000     0     0    13    20    15  0.236  3.0  2.4 0.500 0.500 0.500 1.00 1.00 1.00;  1986    (00058)
00085;    -67.097900  -67.835297     0.02313    0.000235    10    13    68   213   149  0.264 31.3 31.3 0.364 0.123 0.495 0.84 0.79 0.88;  1986    (00085)
00086;    -67.092499  -67.836998     0.02625    0.000270    10    13    11    86    38  0.287 17.6 16.7 0.232 0.061 0.291 0.86 0.81 1.01;  1986    (00086)
00176;    -64.290901  -64.703300     0.01500    0.000197    13    13     4    16     9  0.426  4.5  3.4 0.048 0.023 0.073 0.75 0.61 1.12;  1989    (00176)
00177;    -64.288696  -64.697403     0.02688    0.000203     7    10    27    64    47  0.238 16.1 15.0 0.123 0.045 0.177 0.93 0.89 0.91;  1989    (00177)
00192;    -63.414501  -64.849297     0.02688    0.000284    10    17   342   800   524  0.193 57.0 57.0 0.484 0.228 0.605 0.92 0.82 0.73;  1989    (00192)
00196;    -62.219299  -64.353104     0.02438    0.000172     7     9   265   387   349  0.140 40.0 39.8 0.290 0.184 0.398 0.95 0.92 0.77;  1989    (00196)
00198;    -62.551601  -64.038498     0.01313    0.000100     7     9     3    61    32  0.213 19.6 19.6 0.173 0.064 0.228 0.84 0.81 0.86;  1989    (00198)
00200;    -62.392700  -64.009499     0.01000    0.000050     5     8    10    28    24  0.112 16.4 12.0 0.075 0.061 0.089 0.95 0.89 0.59;  1989    (00200)
00209;    -63.575600  -64.283203     0.02000    0.000186     9    11    16    34    24  0.311  8.2  6.9 0.076 0.049 0.121 0.81 0.80 1.05;  1989    (00209)
00211;    -63.938900  -64.459900     0.01313    0.000123     9    10     4    15     9  0.253  5.4  4.5 0.051 0.038 0.065 0.82 0.71 0.81;  1989    (00211)
00230;    -62.273201  -64.037399     0.02125    0.000213    10    14   103   665   389  0.104 65.3 65.3 0.304 0.217 0.350 0.97 0.92 0.72;  1989    (00230)
00232;    -62.272598  -64.036003     0.01375    0.000090     6    12    22   436    59  0.073 48.1 48.1 0.162 0.098 0.224 0.99 0.93 0.28;  1989    (00232)
00233;    -62.273201  -64.031502     0.01688    0.000106     6     7   145   221   191  0.219 31.1 30.4 0.202 0.060 0.266 0.91 0.89 0.79;  1989    (00233)
00234;    -62.175900  -64.135696     0.01438    0.000109     7    10   596   871   729  0.110 59.8 59.8 0.322 0.252 0.391 0.95 0.89 0.67;  1989    (00234)
00237;    -63.323799  -64.797699     0.02813    0.000269     9    12   564   779   672  0.265 39.3 39.1 0.464 0.212 0.592 0.86 0.80 0.83;  1989    (00237)
00240;    -62.164501  -64.138496     0.01000    0.000069     6     9   859  1003   925  0.114 38.2 38.2 0.200 0.087 0.259 0.94 0.84 0.89;  1989    (00240)
00242;    -62.708900  -64.739304     0.03000    0.000175     5     8   442   504   481  0.149 31.0 29.5 0.204 0.110 0.289 0.96 0.93 0.66;  1989    (00242)
00253;    -62.411598  -64.257500     0.01188    0.000066     5     7  2214  2323  2265  0.105 43.1 43.1 0.249 0.105 0.308 0.94 0.90 0.75;  1989    (00253)
00254;    -62.427799  -64.236397     0.00875    0.000041     4     5   452   492   481  0.100 26.4 26.4 0.157 0.109 0.204 0.92 0.89 0.84;  1989    (00254)
00255;    -62.432598  -64.230202     0.01313    0.000067     5     8   251   302   271  0.120 26.6 24.5 0.194 0.111 0.242 0.94 0.90 0.79;  1989    (00255)
00259;    -62.517799  -64.262703     0.02438    0.000154     6     7   159   246   206  0.153 33.0 32.2 0.251 0.154 0.311 0.93 0.92 0.92;  1989    (00259)
00262;    -62.450298  -64.290901     0.01438    0.000109     7    10   990  1262  1102  0.141 55.1 55.1 0.362 0.192 0.485 0.92 0.84 0.68;  1989    (00262)
00263;    -62.447498  -64.293098     0.01000    0.000051     5     7  1451  1561  1479  0.117 35.6 35.6 0.205 0.082 0.296 0.92 0.83 0.57;  1989    (00263)
00264;    -62.461399  -64.267197     0.02813    0.000338    12    19   781   987   953  0.361 31.7 30.5 0.401 0.157 0.543 0.84 0.75 0.80;  1989    (00264)
00265;    -62.459301  -64.265602     0.01500    0.000142     9    16   685   934   806  0.149 48.3 48.3 0.307 0.205 0.383 0.90 0.74 0.62;  1989    (00265)
00269;    -62.508400  -64.311203     0.01750    0.000151     8    12   598   845   684  0.175 48.1 48.1 0.361 0.160 0.478 0.89 0.77 0.72;  1989    (00269)
00272;    -62.532902  -64.354897     0.01313    0.000115     8    15   705   880   793  0.193 39.8 39.8 0.321 0.150 0.403 0.83 0.61 0.86;  1989    (00272)
00279;    -62.648300  -64.479698     0.02750    0.000216     7    11   310   523   403  0.178 48.6 48.4 0.438 0.258 0.569 0.92 0.85 0.80;  1989    (00279)
00292;    -63.112099  -64.623398     0.01125    0.000072     6     8   651   865   795  0.093 60.1 60.1 0.351 0.195 0.462 0.94 0.88 1.02;  1989    (00292)
00295;    -63.105598  -64.606102     0.01188    0.000108     9    13   652   880   770  0.161 47.0 47.0 0.331 0.160 0.427 0.87 0.73 0.80;  1989    (00295)
00309;    -62.893799  -64.537399     0.02750    0.000244     8    13   479   610   530  0.270 26.7 24.7 0.302 0.173 0.409 0.89 0.84 1.03;  1989    (00309)
00320;    -62.938400  -64.875603     0.02375    0.000166     6     8    26    93    58  0.182 24.4 23.9 0.204 0.096 0.261 0.92 0.89 0.82;  1989    (00320)
00326;    -62.916500  -64.550201     0.01563    0.000081     5     7   601   688   669  0.094 38.3 37.5 0.268 0.170 0.357 0.95 0.93 0.77;  1989    (00326)
00329;    -62.600899  -64.460701     0.02063    0.000153     7    10    90   197   120  0.176 28.3 27.0 0.275 0.161 0.354 0.90 0.86 0.73;  1989    (00329)
