ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00025;     43.587002   42.859001     0.01563    0.000209    13    26  2973  3142  3047  0.261 28.2 28.2 0.278 0.150 0.368 0.78 0.58 0.60;  2004  SU4G08008036 (00025)
00035;     42.829399   43.210602     0.01125    0.000093     8    11  3371  3558  3480  0.112 47.1 47.1 0.334 0.258 0.391 0.91 0.81 0.96;  2001    (00035)
00048;     42.608101   43.188999     0.02250    0.000180     8    13  3150  3274  3202  0.174 33.7 33.7 0.326 0.191 0.421 0.89 0.84 0.69;  2001    (00048)
00094;     42.748100   43.239201     0.02562    0.000200     7    11  3478  3623  3541  0.185 40.3 40.3 0.382 0.183 0.479 0.90 0.87 0.84;  2001    (00094)
00108;     43.197399   43.090099     0.02750    0.000296    10    18  3501  3778  3703  0.207 43.9 43.9 0.499 0.327 0.714 0.89 0.71 1.24;  2004    (00108)
00122;     42.773998   43.222198     0.01250    0.000084     6    10  3482  3626  3564  0.107 47.3 47.3 0.348 0.327 0.375 0.92 0.84 0.84;  2001    (00122)
00177;     42.760201   42.922100     0.01812    0.000125     6    11  3201  3245  3219  0.143 21.1 19.3 0.198 0.155 0.229 0.91 0.87 0.81;  2001    (00177)
00199;     42.624001   42.910900     0.02063    0.000135     6    11  3296  3358  3330  0.146 25.8 25.5 0.207 0.094 0.291 0.93 0.91 0.77;  2001    (00199)
00212;     43.190102   43.105900     0.02375    0.000275    11    23  3655  3909  3817  0.241 41.1 41.1 0.438 0.270 0.605 0.86 0.77 0.98;  2004    (00212)
00242;     42.694401   42.891899     0.02937    0.000224     7    14  3423  3484  3458  0.206 22.5 20.7 0.194 0.107 0.267 0.93 0.89 0.70;  2001    (00242)
00287;     41.894798   43.237999     0.02250    0.000167     7    12  2789  2838  2808  0.215 15.9 15.3 0.142 0.064 0.211 0.90 0.86 0.92;  2000  SU5T09104087 (00287)
00327;     42.109001   43.126999     0.02063    0.000160     7    13  2915  3032  2976  0.207 34.6 34.1 0.320 0.125 0.430 0.88 0.86 0.88;  2000  SU5T09105142 (00327)
00358;     42.789799   43.200901     0.01750    0.000115     6    11  3158  3240  3205  0.137 38.5 38.5 0.301 0.169 0.406 0.92 0.89 0.87;  2001    (00358)
00378;     42.532902   42.955700     0.02813    0.000298    10    21  3101  3274  3170  0.272 33.2 32.6 0.363 0.190 0.449 0.84 0.73 0.64;  2001    (00378)
00384;     42.761101   42.927299     0.01563    0.000105     6    10  3126  3206  3167  0.144 30.7 30.2 0.224 0.083 0.329 0.91 0.84 0.78;  2001    (00384)
00401;     44.323799   42.763302     0.02813    0.000337    11    22  3578  3874  3726  0.240 45.2 45.2 0.512 0.244 0.628 0.89 0.82 0.91;  2004  SU4G08010023 (00401)
00406;     42.460701   43.215000     0.02750    0.000223     8    13  3093  3180  3147  0.210 26.0 25.5 0.266 0.180 0.341 0.90 0.88 0.91;  2001    (00406)
00434;     42.485901   43.127300     0.02063    0.000176     8    13  3205  3291  3255  0.234 24.7 24.2 0.243 0.134 0.335 0.85 0.78 0.78;  2001    (00434)
00438;     43.017799   43.003799     0.03000    0.000308    10    20  3294  3534  3495  0.244 35.4 34.6 0.416 0.191 0.646 0.91 0.83 1.01;  2001    (00438)
00445;     42.608898   43.187500     0.02250    0.000145     6    11  3278  3368  3334  0.139 32.8 31.9 0.249 0.157 0.308 0.95 0.92 0.81;  2001    (00445)
00483;     42.612598   43.155102     0.01938    0.000138     7    10  3481  3566  3523  0.186 26.8 26.5 0.239 0.112 0.305 0.90 0.86 1.00;  2001  SU5T09105241 (00483)
00505;     42.767700   43.222198     0.01625    0.000116     7    12  3546  3678  3622  0.144 44.3 44.3 0.376 0.225 0.473 0.90 0.87 0.92;  2001    (00505)
00554;     42.471500   42.946899     0.02125    0.000189     8    16  2895  3092  2993  0.174 48.3 48.3 0.412 0.201 0.554 0.91 0.87 0.90;  2001    (00554)
00566;     41.896198   43.243401     0.02875    0.000279     9    16  3219  3269  3248  0.216 18.0 14.0 0.169 0.114 0.208 0.90 0.83 0.94;  2000  SU5T09104086 (00566)
00678;     42.480801   42.935902     0.02187    0.000202     9    24  3676  3733  3706  0.255 18.1 15.5 0.161 0.080 0.213 0.85 0.79 0.76;  2001    (00678)
00688;     43.774700   42.755600     0.01938    0.000114     5    10  4163  4192  4182  0.141 16.7 16.1 0.126 0.102 0.161 0.92 0.89 0.60;  1999  SU5T09106396 (00688)
00696;     42.531601   43.156898     0.02500    0.000180     7    11  3716  3789  3756  0.160 27.3 26.3 0.238 0.122 0.321 0.93 0.91 0.80;  2001    (00696)
00702;     42.198299   43.212398     0.01750    0.000127     7    10  3211  3289  3250  0.163 26.1 26.1 0.242 0.095 0.315 0.90 0.83 0.81;  2000  SU5T09105163 (00702)
00704;     42.499500   43.124001     0.01563    0.000124     7    11  3067  3164  3113  0.203 28.7 28.7 0.286 0.153 0.363 0.83 0.81 0.77;  2001    (00704)
00719;     42.154301   43.128399     0.01438    0.000093     6    11  2643  2737  2683  0.128 36.5 36.5 0.265 0.112 0.349 0.92 0.89 0.84;  2000  SU5T09105144 (00719)
00731;     44.175499   42.747501     0.01875    0.000165     8    16  3780  3962  3887  0.143 48.4 48.4 0.416 0.214 0.530 0.91 0.87 0.96;  2004    (00731)
00815;     42.248798   43.210899     0.01438    0.000117     8    16  3210  3297  3258  0.163 28.7 28.7 0.307 0.149 0.416 0.85 0.77 0.65;  2000  SU5T09105166 (00815)
00837;     42.611698   43.149601     0.01313    0.000110     8    12  3547  3691  3606  0.182 37.2 37.2 0.339 0.226 0.418 0.84 0.76 0.67;  2001    (00837)
00894;     42.710899   43.250198     0.02500    0.000335    13    23  3358  3698  3538  0.244 45.9 45.9 0.452 0.237 0.564 0.86 0.74 0.88;  2001    (00894)
