ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00163;    -52.790199   65.686897     0.05310    0.000724    13    27   510   686   598  0.377 25.1 23.2 0.367 0.137 0.520 0.86 0.78 0.68;  2000    (00163)
00253;    -52.424198   65.850899     0.05220    0.000761    14    31  1424  1762  1597  0.349 44.1 44.1 0.708 0.313 0.940 0.85 0.80 0.92;  2000    (00253)
00358;    -52.412899   65.856796     0.05040    0.000741    14    31  1073  1591  1315  0.214 48.8 48.8 0.529 0.322 0.819 0.94 0.83 0.72;  2000    (00358)
00667;    -53.430099   66.206299     0.05220    0.000552    10    17   676   778   730  0.262 22.6 21.5 0.275 0.171 0.338 0.92 0.90 0.88;  2000    (00667)
00951;    -53.292900   66.444901     0.05130    0.000564    10    17   760   998   865  0.289 41.6 41.1 0.594 0.339 0.728 0.90 0.86 0.79;  1994    (00951)
01282;    -54.263699   69.882103     0.04950    0.000649    13    24  1183  1229  1209  0.330 12.0 10.5 0.164 0.083 0.235 0.90 0.84 1.03;  2001    (01282)
01400;    -53.854999   69.808998     0.05130    0.000948    18    33   760   984   864  0.472 25.1 24.7 0.532 0.270 0.688 0.76 0.66 0.87;  2001    (01400)
01570;    -51.304401   70.127296     0.05040    0.000598    11    18   826   884   850  0.321 15.2 13.3 0.229 0.085 0.334 0.89 0.85 1.19;  2002    (01570)
01805;    -51.887199   70.247498     0.05040    0.000836    16    33  1095  1173  1162  0.363 14.5 13.3 0.284 0.135 0.424 0.84 0.73 0.55;  2002    (01805)
01857;    -50.846802   70.312202     0.05040    0.000496     9    16   746   859   810  0.262 25.7 25.3 0.340 0.159 0.460 0.92 0.90 0.87;  2002    (01857)
02274;    -53.054001   70.726700     0.05040    0.000699    13    26  1701  1821  1775  0.375 22.0 20.9 0.321 0.201 0.478 0.85 0.75 0.66;  2002    (02274)
02344;    -51.187900   71.115898     0.05040    0.000569    11    19  1096  1126  1111  0.330  8.8  8.3 0.104 0.074 0.145 0.92 0.86 0.75;  2002    (02344)
02384;    -51.149601   71.190201     0.05040    0.000718    14    27   823   854   838  0.342  7.0  6.9 0.118 0.092 0.143 0.88 0.82 0.77;  2002    (02384)
02388;    -53.702499   71.096001     0.04950    0.000695    14    29   721   756   742  0.284  8.5  7.1 0.126 0.113 0.142 0.90 0.80 0.72;  2002    (02388)
02405;    -51.903400   71.207802     0.04950    0.000674    13    23  1161  1262  1212  0.344 17.9 17.3 0.273 0.228 0.298 0.85 0.79 0.80;  2002    (02405)
02502;    -54.041100   71.570801     0.05040    0.000581    11    20   636   678   659  0.242 11.1 10.8 0.152 0.098 0.191 0.93 0.86 0.67;  2002    (02502)
02648;    -54.162800   71.499199     0.04950    0.000841    16    33   761   812   796  0.682 12.0 10.2 0.160 0.048 0.266 0.86 0.69 0.48;  2002    (02648)
02660;    -54.184898   71.558800     0.04950    0.000843    17    33   774   878   848  0.394 16.2 15.2 0.302 0.169 0.424 0.83 0.75 0.63;  2002    (02660)
02690;    -54.621601   71.570297     0.05040    0.000831    16    30   863  1058  1010  0.350 28.1 26.8 0.570 0.254 0.787 0.86 0.76 0.91;  2002    (02690)
03109;    -54.903198   72.016998     0.05040    0.000718    14    22  1099  1153  1129  0.410 11.5 11.2 0.175 0.083 0.259 0.86 0.79 0.82;  2002    (03109)
03151;    -52.247299   72.206101     0.05130    0.000617    12    30  1020  1300  1143  0.253 48.0 47.1 0.651 0.443 0.791 0.89 0.79 0.63;  2002    (03151)
03281;    -53.602699   72.618500     0.05040    0.000537    10    20   758   799   775  0.271 11.3  9.5 0.148 0.067 0.198 0.93 0.86 0.82;  2002    (03281)
03494;    -43.701801   60.099098     0.04950    0.000489     9    15   892   995   943  0.206 29.4 28.8 0.354 0.242 0.426 0.93 0.89 0.67;  2002    (03494)
03524;    -44.243698   60.382000     0.06570    0.000792    12    23   826   968   891  0.329 27.3 26.1 0.471 0.187 0.632 0.90 0.87 0.92;  2002    (03524)
03636;    -44.116699   60.192902     0.05220    0.000935    17    24   732   862   792  0.512 15.1 14.9 0.291 0.126 0.415 0.78 0.71 0.94;  2002    (03636)
03714;    -44.474201   60.257301     0.05040    0.000531    10    18   774   932   850  0.281 31.6 31.5 0.430 0.196 0.544 0.90 0.86 1.02;  2002    (03714)
03717;    -43.167000   60.245499     0.05220    0.000622    11    21   368   525   437  0.322 29.3 28.9 0.493 0.144 0.693 0.87 0.81 0.67;  2002    (03717)
