ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00111;    -18.919701   65.430496     0.04375    0.000389     8    14   926  1021   970  0.209 26.4 25.9 0.290 0.127 0.385 0.94 0.91 0.98;  2000    (00111)
00004;    -23.820999   64.803596     0.06438    0.000943    14    22   830   950   877  0.415 17.8 17.4 0.353 0.163 0.468 0.86 0.83 0.81;  2002    (00004)
00012;    -18.331900   65.640999     0.05187    0.000509     9    17  1199  1274  1237  0.253 20.6 18.8 0.227 0.086 0.305 0.93 0.90 0.89;  2000    (00012)
00030;    -18.783300   65.693001     0.06187    0.000713    11    20  1164  1237  1203  0.282 16.6 16.1 0.241 0.097 0.318 0.92 0.90 0.82;  2000    (00030)
00062;    -18.940901   65.847801     0.05563    0.000619    11    19   999  1085  1050  0.270 19.4 18.8 0.254 0.158 0.335 0.91 0.89 0.78;  2000    (00062)
00073;    -18.739800   65.760597     0.05187    0.000553    10    19   989  1137  1056  0.301 27.4 26.7 0.349 0.137 0.442 0.90 0.83 1.18;  2000    (00073)
00124;    -18.782700   65.905998     0.06813    0.000666     9    17   977  1032  1007  0.285 17.6 16.6 0.194 0.092 0.283 0.95 0.94 0.82;  2000    (00124)
00145;    -18.195101   66.021500     0.05125    0.000458     8    16   913   979   959  0.175 21.6 21.0 0.266 0.160 0.347 0.95 0.93 0.90;  2000    (00145)
00152;    -18.243200   66.056900     0.05375    0.000455     8    15   782   901   820  0.221 30.1 29.5 0.381 0.163 0.505 0.93 0.91 0.74;  2000    (00152)
00178;    -18.353600   65.530899     0.06438    0.000571     8    15  1236  1338  1274  0.214 28.6 24.9 0.292 0.149 0.409 0.95 0.92 0.73;  2000    (00178)
00185;    -18.379801   65.554497     0.06000    0.000672    11    17  1189  1351  1264  0.331 30.6 29.5 0.429 0.166 0.580 0.90 0.85 0.90;  2000    (00185)
00262;    -19.207399   64.628899     0.06187    0.000717    11    18  1110  1200  1149  0.333 20.3 17.6 0.295 0.163 0.423 0.90 0.83 0.77;  1999    (00262)
00282;    -20.381399   64.795799     0.05750    0.000787    13    27  1047  1304  1207  0.408 33.5 33.0 0.607 0.221 0.840 0.86 0.82 0.82;  2000    (00282)
00357;    -19.559999   63.786301     0.06125    0.000860    14    24  1291  1431  1374  0.475 19.1 17.6 0.351 0.187 0.492 0.82 0.74 1.04;  2003    (00357)
00381;    -15.734800   64.361900     0.06250    0.000667    10    16   993  1135  1033  0.342 26.5 25.9 0.423 0.153 0.540 0.90 0.83 0.93;  2000    (00381)
00405;    -16.214001   64.190903     0.06125    0.000832    13    25  1036  1153  1074  0.412 19.7 16.6 0.311 0.141 0.427 0.83 0.76 0.81;  2000    (00405)
00426;    -16.632000   63.946999     0.06813    0.001000    14    23  1001  1089  1031  0.346 14.2 14.0 0.295 0.131 0.343 0.88 0.85 0.90;  2000    (00426)
00449;    -16.778999   64.042603     0.06813    0.001247    18    31   984  1202  1059  0.567 20.0 19.2 0.409 0.216 0.551 0.82 0.76 1.04;  2000    (00449)
00459;    -16.171400   64.166000     0.05563    0.000707    12    26   958  1081   979  0.398 16.5 16.0 0.338 0.091 0.451 0.78 0.64 0.55;  2000    (00459)
00488;    -14.959000   64.511902     0.06875    0.000904    13    21  1137  1283  1200  0.403 23.8 22.8 0.397 0.149 0.529 0.87 0.79 0.90;  2003    (00488)
00493;    -14.974600   64.516296     0.05375    0.001011    18    45  1003  1255  1121  0.605 23.4 23.1 0.426 0.264 0.594 0.74 0.49 0.68;  2003    (00493)
00502;    -13.917200   65.526001     0.05875    0.000646    10    19   706   968   827  0.253 48.1 47.6 0.608 0.350 0.775 0.92 0.88 0.81;  2003    (00502)
00526;    -14.276100   64.926697     0.06750    0.001016    15    28   865  1014   938  0.463 21.1 19.9 0.377 0.162 0.555 0.84 0.80 0.71;  2003    (00526)
00538;    -23.177799   65.943703     0.05438    0.000598    10    17   679   854   764  0.327 32.7 31.9 0.451 0.146 0.601 0.90 0.86 0.90;  2004    (00538)
00016;    -18.314199   65.664398     0.07687    0.001050    13    22  1001  1156  1063  0.397 23.6 23.0 0.442 0.200 0.585 0.88 0.81 0.85;  2000    (00016)
00023;    -18.438601   65.825897     0.08563    0.001237    14    27   800   940   854  0.363 21.9 21.2 0.421 0.206 0.532 0.90 0.87 0.88;  2000    (00023)
