ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00013;    -70.554100  -16.370200     0.01250    0.000069     5     8  5052  5085  5071  0.120 18.7 18.2 0.135 0.115 0.143 0.92 0.87 0.84;  2000    (00013)
00016;    -70.551000  -16.373600     0.01188    0.000065     5     8  4972  5000  4982  0.139 16.3 15.9 0.121 0.106 0.142 0.88 0.86 0.82;  2000    (00016)
00017;    -70.549700  -16.371900     0.01688    0.000130     7    11  5022  5098  5054  0.206 21.8 21.8 0.232 0.087 0.320 0.86 0.81 0.78;  2000    (00017)
00030;    -70.349300  -16.288900     0.02125    0.000142     6    12  5165  5234  5190  0.207 19.8 19.1 0.182 0.080 0.232 0.86 0.77 0.64;  2000    (00030)
00053;    -70.352800  -16.204400     0.01375    0.000113     8    12  5159  5195  5180  0.243 11.3 11.1 0.100 0.074 0.128 0.80 0.72 0.92;  2000    (00053)
00055;    -70.325700  -16.195800     0.01188    0.000088     7    11  5057  5092  5078  0.216 13.3 13.1 0.103 0.064 0.153 0.82 0.72 0.79;  2000    (00055)
00057;    -70.284100  -16.158000     0.01563    0.000083     5     7  4941  5016  4988  0.115 33.9 33.4 0.241 0.141 0.311 0.93 0.90 0.82;  2000    (00057)
00061;    -70.252300  -16.114500     0.01250    0.000080     6     8  5038  5094  5069  0.159 23.7 23.7 0.180 0.090 0.266 0.87 0.82 0.80;  2000    (00061)
00069;    -70.307500  -16.088900     0.02000    0.000143     7    12  5036  5087  5071  0.157 20.3 19.7 0.180 0.117 0.244 0.92 0.88 0.81;  2000    (00069)
00072;    -70.246700  -16.071800     0.02750    0.000302    10    16  4892  4991  4943  0.315 19.4 19.4 0.259 0.154 0.319 0.80 0.75 0.87;  2000    (00072)
00073;    -70.284700  -16.070700     0.01688    0.000175    10    18  4940  5002  4973  0.290 13.2 12.8 0.149 0.092 0.181 0.78 0.67 0.78;  2000    (00073)
00075;    -70.800700  -15.608600     0.03000    0.000395    13    21  5041  5098  5074  0.359 10.3  9.8 0.140 0.091 0.185 0.81 0.70 0.63;  2000    (00075)
00076;    -70.767300  -15.585700     0.01063    0.000068     6    10  5050  5071  5057  0.149  9.9  9.7 0.098 0.058 0.120 0.88 0.81 0.96;  2000    (00076)
00077;    -70.759400  -15.585700     0.01875    0.000160     8    12  4977  5066  5025  0.249 21.0 20.9 0.203 0.129 0.268 0.83 0.81 0.88;  2000    (00077)
00081;    -70.794900  -15.586100     0.01000    0.000076     7    10  5091  5118  5106  0.182  9.4  9.2 0.083 0.075 0.094 0.84 0.77 0.87;  2000    (00081)
