ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00001;    175.548996  -39.275398     0.02500    0.000238     9    14  2338  2414  2382  0.262 18.8 18.6 0.203 0.102 0.276 0.85 0.79 0.98;  1978    (00001)
00003;    175.567001  -39.300701     0.01563    0.000113     7    12  2348  2447  2387  0.179 30.0 30.0 0.281 0.102 0.366 0.87 0.79 0.71;  1978    (00003)
00004;    175.569000  -39.261501     0.02125    0.000209     9    14  2309  2418  2361  0.242 26.0 26.0 0.304 0.193 0.378 0.83 0.80 1.00;  1978    (00004)
00005;    175.582001  -39.276901     0.01812    0.000143     7    13  2298  2398  2335  0.189 28.2 28.0 0.272 0.191 0.377 0.88 0.80 0.67;  1978    (00005)
00007;    175.552994  -39.267799     0.01875    0.000176     9    14  2376  2495  2445  0.252 27.1 27.1 0.298 0.132 0.404 0.80 0.76 1.04;  1978    (00007)
00008;    175.574997  -39.294201     0.02250    0.000148     6    10  2202  2262  2230  0.162 24.5 24.0 0.216 0.086 0.285 0.93 0.90 0.85;  1978    (00008)
00015;    175.554001  -39.292500     0.01063    0.000071     6     9  2301  2378  2333  0.135 26.9 26.9 0.188 0.091 0.274 0.89 0.81 0.61;  1978    (00015)
00018;    175.582993  -39.265400     0.01875    0.000155     8    11  2454  2570  2502  0.197 31.0 31.0 0.304 0.184 0.391 0.87 0.83 0.83;  1978    (00018)
00032;    167.742996  -44.712299     0.02250    0.000214     9    17  1208  1369  1263  0.199 37.2 37.2 0.379 0.150 0.456 0.88 0.80 0.66;  1978    (00032)
00033;    168.059006  -44.728100     0.02438    0.000158     6    12  1818  1958  1890  0.131 46.4 46.4 0.391 0.161 0.497 0.94 0.90 1.04;  1978    (00033)
00043;    168.072998  -44.722301     0.01938    0.000120     6    10  1747  1841  1779  0.123 38.6 38.2 0.284 0.161 0.379 0.94 0.91 0.64;  1978    (00043)
00045;    168.074997  -44.720600     0.02375    0.000162     6    11  1617  1711  1652  0.153 33.4 33.1 0.266 0.122 0.373 0.93 0.90 0.70;  1978    (00045)
00046;    168.072998  -44.720299     0.02125    0.000176     8    12  1575  1727  1645  0.180 37.1 37.1 0.298 0.150 0.392 0.91 0.85 0.78;  1978    (00046)
00061;    168.033005  -44.693501     0.02813    0.000228     8    15  1670  1861  1780  0.161 48.5 48.5 0.466 0.332 0.605 0.92 0.88 0.93;  1978    (00061)
00077;    168.061005  -44.794701     0.02313    0.000187     8    16  1823  1979  1906  0.173 43.0 42.8 0.412 0.221 0.530 0.90 0.82 0.73;  1978    (00077)
00090;    167.807007  -44.649899     0.01688    0.000132     7    11  1581  1682  1636  0.161 34.5 34.5 0.337 0.223 0.415 0.88 0.84 0.83;  1978    (00090)
00101;    167.751007  -44.937599     0.01875    0.000142     7    12  1516  1578  1552  0.171 23.1 22.5 0.209 0.130 0.274 0.90 0.85 0.78;  1978    (00101)
00103;    167.800003  -44.650799     0.01188    0.000084     7    12  1570  1644  1620  0.131 25.3 25.1 0.187 0.135 0.232 0.92 0.80 0.53;  1978    (00103)
00104;    167.800995  -44.648899     0.01125    0.000073     6     8  1555  1645  1613  0.139 35.9 35.9 0.295 0.167 0.391 0.86 0.84 0.84;  1978    (00104)
00119;    168.065002  -44.627602     0.01438    0.000101     7    12  1501  1629  1585  0.116 44.6 44.6 0.340 0.246 0.444 0.93 0.88 0.81;  1978    (00119)
00124;    168.063995  -44.609200     0.01563    0.000095     6    12  1516  1602  1561  0.108 41.3 40.9 0.275 0.124 0.390 0.94 0.90 0.75;  1978    (00124)
00127;    168.048996  -44.613701     0.02937    0.000251     8    14  2176  2375  2288  0.182 47.6 47.6 0.443 0.184 0.640 0.92 0.88 0.89;  1978    (00127)
00134;    168.052002  -44.603802     0.02250    0.000160     7    12  1567  1712  1632  0.138 43.6 43.6 0.346 0.239 0.431 0.94 0.91 0.77;  1978    (00134)
