ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00867;     17.830099   67.397499     0.01188    0.000058     4    11  1638  1673  1651  0.127 21.5 20.3 0.120 0.079 0.158 0.92 0.86 0.56;  1999    (00867)
00868;     17.824800   67.396797     0.02000    0.000142     7    10  1604  1721  1674  0.240 30.6 30.6 0.272 0.123 0.372 0.85 0.80 1.05;  1999    (00868)
02629;     33.750000   67.820000     0.02063    0.000151     7    12   700   754   724  0.181 18.6 18.0 0.174 0.114 0.231 0.90 0.85 0.65;  -999  SU4C01001003 3 (02629)
02630;     33.770000   67.830002     0.02125    0.000157     7    12   667   725   697  0.191 20.2 19.8 0.182 0.079 0.239 0.90 0.86 0.93;  -999  SU4C01001004 4 (02630)
00021;     18.708300   68.256897     0.03750    0.000333     8    15  1553  1688  1604  0.297 26.5 26.1 0.298 0.170 0.371 0.88 0.80 0.68;  1999    (00021)
01205;     19.986099   69.418701     0.05000    0.001216    24    50  1367  1422  1408  0.556  8.6  7.0 0.141 0.095 0.245 0.72 0.50 0.48;  1999    (01205)
02627;     33.830002   67.930000     0.03000    0.000424    14    23   233   250   242  0.464  5.6  4.1 0.058 0.045 0.068 0.72 0.68 0.75;  -999  SU4C01001001 1 (02627)
02628;     33.500000   67.870003     0.02937    0.000247     8    21   227   249   240  0.346  5.5  5.0 0.082 0.082 0.082 0.93 0.71 0.17;  -999  SU4C01001002 2 (02628)
00113;      6.567660   62.076698     0.06313    0.000744    11    21  1407  1567  1496  0.320 29.9 28.6 0.451 0.141 0.611 0.90 0.88 0.87;  2003    (00113)
00165;     13.764700   65.317802     0.06250    0.000865    13    21  1205  1393  1318  0.443 24.4 23.9 0.411 0.238 0.563 0.82 0.74 0.89;  1999    (00165)
00223;     14.169200   65.930000     0.05688    0.000683    12    19  1224  1378  1283  0.343 26.3 24.7 0.381 0.134 0.542 0.88 0.83 0.76;  1999    (00223)
00292;     13.620500   66.414299     0.06000    0.001266    21    38  1135  1219  1201  0.458 10.6  9.8 0.237 0.120 0.305 0.81 0.76 0.60;  1999    (00292)
00330;     14.586600   66.583099     0.05750    0.000963    16    33  1381  1438  1404  0.438  8.5  7.2 0.141 0.074 0.197 0.85 0.73 1.21;  1999    (00330)
00405;     14.357800   66.698196     0.05563    0.000635    11    27  1430  1487  1456  0.349 13.4 12.6 0.190 0.096 0.287 0.91 0.83 0.69;  1999    (00405)
00429;     14.492000   66.751198     0.06125    0.000698    11    19  1334  1406  1364  0.377 15.1 13.5 0.215 0.060 0.283 0.91 0.86 0.83;  1999    (00429)
00438;     14.011700   66.758499     0.06500    0.000833    12    27  1043  1172  1113  0.385 24.9 21.5 0.369 0.162 0.498 0.88 0.85 0.84;  1999    (00438)
00461;     13.712000   66.588303     0.05125    0.000603    11    21   768  1069   870  0.327 43.2 43.0 0.612 0.302 0.813 0.88 0.82 0.80;  1999    (00461)
00489;     14.517500   66.778297     0.05937    0.001344    22    48  1383  1481  1454  0.546 10.7  9.5 0.214 0.161 0.275 0.74 0.65 0.65;  1999    (00489)
00606;     15.671700   67.707603     0.05375    0.000421     7    13   963  1053  1007  0.180 32.6 31.3 0.337 0.217 0.439 0.95 0.93 0.74;  1999    (00606)
00645;     17.177799   68.247803     0.06125    0.001061    17    36  1533  1704  1683  0.518 20.9 18.8 0.430 0.118 0.638 0.83 0.77 0.55;  1999    (00645)
00665;     17.910601   68.229599     0.06875    0.000805    11    18  1449  1567  1498  0.479 21.3 19.6 0.319 0.108 0.452 0.89 0.86 0.92;  1999    (00665)
00667;     17.862301   68.226303     0.06500    0.000646     9    16  1682  1834  1788  0.290 29.2 28.5 0.396 0.199 0.542 0.94 0.91 0.79;  1999    (00667)
00696;     17.740900   68.314201     0.06375    0.000950    14    25  1094  1335  1221  0.473 28.5 28.3 0.507 0.291 0.650 0.84 0.80 0.91;  1999    (00696)
00785;     18.425501   67.965599     0.06313    0.000705    11    19  1719  1777  1755  0.355 11.9 10.7 0.151 0.084 0.211 0.91 0.89 0.95;  1999    (00785)
00795;     18.536600   67.939598     0.06375    0.000702    11    19  1409  1529  1451  0.367 21.4 20.9 0.319 0.082 0.425 0.90 0.88 1.01;  1999    (00795)
00803;     18.541000   67.835403     0.06187    0.000947    15    26  1348  1611  1410  0.573 25.0 24.6 0.457 0.184 0.636 0.84 0.76 0.97;  1999    (00803)
00804;     18.548100   67.838402     0.05750    0.000724    12    21  1445  1607  1499  0.447 23.7 22.2 0.399 0.127 0.549 0.87 0.83 1.07;  1999    (00804)
00892;     17.618799   67.343102     0.05563    0.000740    13    28  1530  1639  1602  0.421 16.8 15.6 0.284 0.187 0.362 0.83 0.75 1.11;  1999    (00892)
00905;     17.497200   67.311600     0.06125    0.000666    10    17  1698  1830  1760  0.401 25.7 24.1 0.331 0.149 0.465 0.89 0.82 0.83;  1999    (00905)
00929;     17.685801   67.157402     0.06625    0.000763    11    18  1241  1366  1304  0.299 24.5 23.8 0.356 0.194 0.445 0.92 0.89 0.95;  1999    (00929)
00930;     17.680500   67.152603     0.05688    0.000546     9    21  1366  1519  1470  0.309 33.4 32.7 0.476 0.161 0.662 0.92 0.87 1.02;  1999    (00930)
00948;     18.060301   67.293503     0.05125    0.000448     8    14  1263  1396  1332  0.231 32.9 32.3 0.413 0.230 0.523 0.93 0.91 0.92;  1999    (00948)
01033;     18.360500   68.584801     0.06062    0.000749    12    25  1108  1175  1139  0.392 12.2 11.9 0.182 0.064 0.258 0.89 0.86 0.83;  1999    (01033)
01047;     18.702999   68.638100     0.05625    0.000631    11    24  1057  1230  1134  0.332 31.2 30.4 0.491 0.168 0.690 0.89 0.87 0.88;  1999    (01047)
01112;     19.146999   68.943497     0.07062    0.001136    16    29  1135  1306  1239  0.488 19.4 18.1 0.345 0.273 0.411 0.85 0.76 1.12;  1999    (01112)
01125;     19.958799   69.097298     0.05312    0.000510     9    17  1394  1526  1463  0.277 28.1 27.0 0.317 0.148 0.424 0.92 0.86 0.82;  1999    (01125)
01129;     19.951500   69.136803     0.06750    0.000822    12    20  1157  1304  1257  0.310 22.3 21.1 0.324 0.221 0.415 0.92 0.88 0.86;  1999    (01129)
01137;     19.884001   69.177200     0.06750    0.000852    12    22   966  1189  1094  0.318 28.0 27.6 0.385 0.177 0.528 0.93 0.83 0.94;  1999    (01137)
01160;     19.752800   69.282997     0.05312    0.000658    12    20  1359  1492  1468  0.394 16.4 16.0 0.291 0.180 0.398 0.84 0.75 1.02;  1999    (01160)
01165;     20.287100   69.287903     0.06500    0.000769    11    19  1395  1433  1407  0.341  9.5  8.8 0.143 0.095 0.220 0.91 0.88 1.02;  1999    (01165)
01204;     19.989901   69.418198     0.06313    0.001144    18    34  1386  1436  1413  0.474  7.7  6.3 0.116 0.085 0.166 0.83 0.74 1.02;  1999    (01204)
01207;     20.007900   69.420303     0.05813    0.000569     9    16  1457  1493  1480  0.256 13.3 10.2 0.115 0.070 0.169 0.94 0.89 0.86;  1999    (01207)
01211;     19.390100   69.434502     0.05312    0.000603    11    18   885   963   912  0.320 15.9 15.3 0.244 0.084 0.354 0.89 0.85 0.79;  1999    (01211)
