ID  Location(x, y) area(km2) volume(km3) THICK_mean _max(m) ELEV_min _max _med(masl) LENGTH(km) SLOPE_avg _band(deg) TAU_avg _min _max(bar) SF_avg _min(-) R_V  Survey_year Name
00002;    -70.172996  -34.391899     0.00250    0.000000     0     0  2860  2863  2862  0.199  2.9  2.9 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00002)
00003;    -70.173302  -34.392601     0.00250    0.000000     0     0  2862  2865  2863  0.081  7.0  7.0 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00003)
00007;    -69.994102  -34.472000     0.02750    0.000227     8    12  3609  3693  3651  0.236 24.3 23.7 0.240 0.134 0.307 0.89 0.83 0.78;  2000    (00007)
00009;    -70.317299  -34.475601     0.00688    0.000049     7    11  3413  3496  3461  0.116 31.4 31.4 0.184 0.125 0.221 0.88 0.80 0.64;  2000    (00009)
00010;    -70.316002  -34.475399     0.00313    0.000009     2     5  3386  3402  3396  0.063 25.6 25.6 0.089 0.079 0.107 0.91 0.89 0.45;  2000    (00010)
00013;    -70.365196  -34.535301     0.00250    0.000012     4     5  3677  3693  3683  0.080 20.7 20.7 0.100 0.092 0.113 0.78 0.74 0.98;  2000    (00013)
00014;    -70.257004  -34.562302     0.00375    0.000021     5     6  3177  3203  3191  0.109 22.5 22.5 0.132 0.076 0.177 0.79 0.75 0.94;  2000    (00014)
00019;    -70.271500  -34.582298     0.00250    0.000005     2     5  3465  3498  3484  0.033 43.0 43.0 0.172 0.131 0.213 0.96 0.88 0.00;  2000    (00019)
00020;    -70.269897  -34.582401     0.01250    0.000083     6     9  3373  3430  3393  0.168 22.0 21.4 0.207 0.105 0.271 0.84 0.78 0.72;  2000    (00020)
00021;    -70.384697  -34.583500     0.00187    0.000004     2     6  3950  3974  3953  0.048 22.2 22.2 0.066 0.066 0.066 0.94 0.75 0.00;  2000    (00021)
00029;    -70.094200  -34.489601     0.01438    0.000103     7     9  3869  3940  3914  0.203 23.8 23.8 0.201 0.104 0.268 0.85 0.83 0.84;  2000    (00029)
00032;    -70.101196  -34.510502     0.02438    0.000258    10    17  3576  3612  3591  0.330  8.8  8.5 0.107 0.071 0.133 0.79 0.70 0.66;  2000    (00032)
00033;    -70.139000  -34.510700     0.02125    0.000161     7    11  3894  3950  3918  0.205 17.8 17.1 0.154 0.071 0.200 0.92 0.86 0.86;  2000    (00033)
00034;    -70.103699  -34.511398     0.00187    0.000000     0     0  3579  3582  3582  0.165  7.5  7.5 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00034)
00035;    -70.139198  -34.513199     0.02750    0.000235     8    13  3949  4036  4002  0.258 22.2 21.7 0.227 0.126 0.313 0.86 0.79 1.25;  2000    (00035)
00039;    -70.114601  -34.519199     0.00125    0.000000     0     0  3420  3425  3425  0.053 10.8 10.8 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00039)
00040;    -70.108101  -34.520699     0.00187    0.000000     0     0  3289  3295  3291  0.098 11.8 11.8 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00040)
00045;    -70.132698  -34.537498     0.01063    0.000068     6     8  3754  3795  3775  0.155 17.6 16.6 0.144 0.105 0.191 0.87 0.79 0.82;  2000    (00045)
00047;    -70.152801  -34.541599     0.02187    0.000121     5     8  3943  3990  3961  0.141 22.8 22.4 0.179 0.130 0.226 0.93 0.89 0.79;  2000    (00047)
00049;    -70.128097  -34.547699     0.02625    0.000208     7    12  3670  3748  3707  0.188 23.3 22.8 0.234 0.112 0.319 0.91 0.87 0.82;  2000    (00049)
00054;    -70.161499  -34.552799     0.00313    0.000013     4     5  3652  3686  3667  0.069 30.5 30.5 0.151 0.111 0.176 0.88 0.82 0.63;  2000    (00054)
00058;    -70.181602  -34.569302     0.00875    0.000054     6     7  3646  3661  3650  0.173 11.1 10.6 0.091 0.053 0.119 0.81 0.79 1.13;  2000    (00058)
00059;    -70.183701  -34.573399     0.00625    0.000042     6    12  3728  3750  3743  0.150 14.5 14.2 0.109 0.095 0.123 0.77 0.70 1.12;  2000    (00059)
00061;    -70.175102  -34.576302     0.00625    0.000021     3     5  3873  3896  3888  0.085 19.3 19.3 0.090 0.062 0.133 0.94 0.90 0.83;  2000    (00061)
00062;    -70.171097  -34.577599     0.01938    0.000176     9    13  3840  4004  3932  0.230 34.1 34.1 0.336 0.203 0.445 0.87 0.75 0.66;  2000    (00062)
00064;    -70.172798  -34.578800     0.02562    0.000219     8    15  3907  4005  3983  0.235 21.6 21.2 0.235 0.091 0.321 0.92 0.85 0.77;  2000    (00064)
00065;    -70.189301  -34.578098     0.00187    0.000000     0     0  3660  3663  3660  0.126  4.5  4.5 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00065)
00066;    -70.171898  -34.581299     0.00313    0.000013     4     8  3831  3920  3882  0.050 45.1 45.1 0.162 0.150 0.179 0.95 0.82 0.35;  2000    (00066)
00068;    -70.189301  -34.582401     0.01375    0.000113     8    13  3681  3753  3728  0.205 22.1 22.0 0.208 0.087 0.289 0.84 0.79 0.86;  2000    (00068)
00069;    -70.197403  -34.584099     0.01063    0.000060     5     7  3661  3685  3667  0.133 12.1 11.7 0.100 0.078 0.119 0.90 0.85 0.81;  2000    (00069)
00071;    -69.928398  -34.525101     0.00250    0.000006     2     3  4107  4129  4122  0.031 31.1 31.1 0.121 0.121 0.121 0.98 0.92 0.53;  2000    (00071)
00072;    -69.929001  -34.524200     0.01063    0.000054     5     7  4132  4183  4165  0.118 27.1 27.1 0.176 0.126 0.233 0.92 0.87 0.66;  2000    (00072)
00078;    -69.866501  -34.523201     0.02375    0.000198     8    12  3999  4059  4035  0.229 17.6 16.8 0.180 0.115 0.245 0.88 0.84 0.90;  2000    (00078)
00079;    -69.865997  -34.525398     0.00500    0.000028     5     8  3934  3986  3966  0.117 27.5 27.5 0.167 0.097 0.212 0.84 0.78 0.87;  2000    (00079)
00080;    -69.855202  -34.526798     0.00187    0.000005     2     3  3765  3776  3776  0.042 25.0 25.0 0.084 0.075 0.093 0.93 0.88 0.36;  2000    (00080)
00081;    -69.857201  -34.527000     0.00438    0.000013     3     4  3776  3791  3783  0.054 28.9 28.9 0.111 0.100 0.133 0.94 0.92 0.85;  2000    (00081)
00082;    -69.847000  -34.527901     0.00813    0.000044     5     9  3688  3731  3704  0.154 22.8 22.8 0.160 0.066 0.228 0.85 0.80 0.63;  2000    (00082)
00085;    -69.891800  -34.530201     0.00813    0.000049     6    11  4394  4443  4432  0.138 19.9 19.9 0.161 0.085 0.240 0.87 0.80 0.48;  2000    (00085)
00086;    -69.890404  -34.529800     0.01188    0.000063     5     9  4357  4444  4417  0.148 32.7 32.7 0.232 0.112 0.317 0.90 0.86 0.77;  2000    (00086)
00088;    -69.892197  -34.533699     0.00313    0.000016     5     8  4448  4516  4479  0.081 33.0 33.0 0.135 0.126 0.143 0.88 0.71 0.26;  2000    (00088)
00091;    -69.889900  -34.534100     0.00750    0.000037     4     7  4314  4396  4337  0.071 38.4 38.4 0.178 0.136 0.248 0.94 0.88 0.67;  2000    (00091)
00093;    -69.911697  -34.537201     0.00250    0.000006     2     3  4217  4237  4234  0.047 32.1 32.1 0.101 0.078 0.130 0.94 0.89 0.60;  2000    (00093)
00094;    -69.889504  -34.538200     0.00187    0.000005     2     2  4306  4329  4311  0.045 33.8 33.8 0.110 0.093 0.125 0.92 0.87 0.36;  2000    (00094)
00095;    -69.887497  -34.538101     0.00250    0.000012     4     6  4211  4253  4243  0.067 31.0 31.0 0.146 0.128 0.173 0.87 0.74 0.68;  2000    (00095)
00096;    -69.898003  -34.540501     0.03188    0.000245     7    13  4577  4706  4623  0.223 31.8 31.3 0.342 0.129 0.465 0.89 0.84 0.75;  2000    (00096)
00097;    -69.891899  -34.539398     0.00187    0.000008     4     5  4463  4493  4476  0.058 28.2 28.2 0.113 0.103 0.126 0.88 0.77 0.28;  2000    (00097)
00098;    -69.903801  -34.544498     0.00187    0.000003     1     1  4726  4737  4728  0.026 36.6 36.6 0.078 0.065 0.092 0.97 0.95 0.29;  2000    (00098)
00099;    -69.906197  -34.545799     0.01688    0.000131     7    11  4590  4760  4679  0.175 38.2 38.2 0.282 0.157 0.393 0.90 0.83 0.71;  2000    (00099)
00100;    -69.903603  -34.546501     0.00375    0.000015     4     6  4529  4572  4560  0.059 34.7 34.7 0.150 0.096 0.209 0.94 0.86 0.79;  2000    (00100)
00101;    -69.905502  -34.548401     0.01188    0.000065     5     7  4382  4485  4429  0.140 32.7 32.7 0.212 0.110 0.274 0.91 0.83 0.69;  2000    (00101)
00106;    -69.889504  -34.549599     0.01000    0.000073     7    12  3722  3770  3746  0.157 20.7 20.7 0.183 0.130 0.226 0.82 0.75 0.82;  2000    (00106)
00110;    -70.264099  -34.654999     0.00187    0.000000     0     0  3051  3053  3053  0.106  5.4  5.4 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00110)
00111;    -70.401001  -34.706501     0.02250    0.000149     6    11  3900  3983  3940  0.182 25.3 24.5 0.204 0.096 0.268 0.92 0.89 0.85;  2000    (00111)
00117;    -70.221397  -34.665199     0.02625    0.000234     8    14  3590  3665  3627  0.235 19.0 18.6 0.208 0.097 0.291 0.89 0.84 0.79;  2000    (00117)
00118;    -70.223297  -34.665600     0.00125    0.000000     0     0  3568  3570  3570  0.073 15.4 15.4 0.500 0.500 0.500 1.00 1.00 1.00;  2000    (00118)
00119;    -70.226402  -34.666901     0.01750    0.000143     8    13  3446  3492  3461  0.257 19.1 18.0 0.187 0.042 0.258 0.88 0.86 1.21;  2000    (00119)
00129;    -69.922996  -34.659401     0.00313    0.000014     4     5  3591  3604  3593  0.092 11.6 11.6 0.070 0.056 0.085 0.85 0.75 0.51;  2000    (00129)
00131;    -69.914497  -34.636299     0.00313    0.000009     2     3  4303  4326  4316  0.051 29.8 29.8 0.111 0.096 0.126 0.94 0.90 0.56;  2000    (00131)
